x,y,lat__lat,lon__long,identifier__identifiant,station_id__id_station,period_group__groupe_periode,period_value__valeur_periode,province__province,year__annee,temp_mean__temp_moyenne,temp_mean_units__temp_moyenne_unites,temp_min__temp_min,temp_min_units__temp_min_unites,temp_max__temp_max,temp_max_units__temp_max_unites,total_precip__precip_totale,total_precip_units__precip_totale_unites,rain__pluie,rain_units__pluie_unites,snow__neige,snow_units__neige_unites,pressure_sea_level__pression_niveau_mer,pressure_sea_level_units__pression_niveau_mer_unite,pressure_station__pression_station,pressure_station_units__pression_station_unites,wind_speed__vitesse_vent,wind_speed_units__vitesse_vent_unites
-112.2,53.9,53.9,-112.2,3010237.1990,3010237,Annual,Ann,AB,1990,1.6,C,-4.5,C,7.7,C,,mm,,mm,,mm,,hPa,,hPa,,kph
-112.2,53.9,53.9,-112.2,3010237.1991,3010237,Annual,Ann,AB,1991,-9999.9,C,-9999.9,C,9,C,,mm,,mm,,mm,,hPa,,hPa,,kph
-112.2,53.9,53.9,-112.2,3010237.1992,3010237,Annual,Ann,AB,1992,-9999.9,C,-9999.9,C,-9999.9,C,,mm,,mm,,mm,,hPa,,hPa,,kph
-112.2,53.9,53.9,-112.2,3010237.1993,3010237,Annual,Ann,AB,1993,-9999.9,C,-9999.9,C,-9999.9,C,,mm,,mm,,mm,,hPa,,hPa,,kph
-112.2,53.9,53.9,-112.2,3010237.1994,3010237,Annual,Ann,AB,1994,1.2,C,-4.7,C,6.8,C,,mm,,mm,,mm,,hPa,,hPa,,kph
-112.2,53.9,53.9,-112.2,3010237.1995,3010237,Annual,Ann,AB,1995,1,C,-4.5,C,6.4,C,,mm,,mm,,mm,,hPa,,hPa,,kph
-112.2,53.9,53.9,-112.2,3010237.1996,3010237,Annual,Ann,AB,1996,-1,C,-6.2,C,4.3,C,,mm,,mm,,mm,,hPa,,hPa,,kph
-112.2,53.9,53.9,-112.2,3010237.1997,3010237,Annual,Ann,AB,1997,2,C,-3.6,C,7.5,C,,mm,,mm,,mm,,hPa,,hPa,,kph
-112.2,53.9,53.9,-112.2,3010237.1998,3010237,Annual,Ann,AB,1998,2.9,C,-2.9,C,8.6,C,,mm,,mm,,mm,,hPa,,hPa,,kph
-112.2,53.9,53.9,-112.2,3010237.1999,3010237,Annual,Ann,AB,1999,-9999.9,C,-9999.9,C,-9999.9,C,,mm,,mm,,mm,,hPa,,hPa,,kph
-112.2,53.9,53.9,-112.2,3010237.2000,3010237,Annual,Ann,AB,2000,1.1,C,-4.5,C,6.6,C,,mm,,mm,,mm,,hPa,,hPa,,kph
-112.2,53.9,53.9,-112.2,3010237.2001,3010237,Annual,Ann,AB,2001,2.8,C,-3.4,C,9,C,,mm,,mm,,mm,,hPa,,hPa,,kph
-112.2,53.9,53.9,-112.2,3010237.2002,3010237,Annual,Ann,AB,2002,1,C,-5.3,C,7.4,C,,mm,,mm,,mm,,hPa,,hPa,,kph
-112.2,53.9,53.9,-112.2,3010237.2003,3010237,Annual,Ann,AB,2003,1.1,C,-5,C,7.3,C,,mm,,mm,,mm,,hPa,,hPa,,kph
