x,y,lat__lat,lon__long,identifier__identifiant,station_id__id_station,period_group__groupe_periode,period_value__valeur_periode,province__province,year__annee,temp_mean__temp_moyenne,temp_mean_units__temp_moyenne_unites,temp_min__temp_min,temp_min_units__temp_min_unites,temp_max__temp_max,temp_max_units__temp_max_unites,total_precip__precip_totale,total_precip_units__precip_totale_unites,rain__pluie,rain_units__pluie_unites,snow__neige,snow_units__neige_unites,pressure_sea_level__pression_niveau_mer,pressure_sea_level_units__pression_niveau_mer_unite,pressure_station__pression_station,pressure_station_units__pression_station_unites,wind_speed__vitesse_vent,wind_speed_units__vitesse_vent_unites
-123.7,48.7,48.7,-123.7,1012573.1990,1012573,Annual,Ann,BC,1990,9.8,C,5.1,C,14.5,C,1617.4,mm,1487.1,mm,130.3,mm,,hPa,,hPa,,kph
-123.7,48.7,48.7,-123.7,1012573.1991,1012573,Annual,Ann,BC,1991,9.9,C,5.3,C,14.4,C,1426,mm,1361.3,mm,64.7,mm,,hPa,,hPa,,kph
-123.7,48.7,48.7,-123.7,1012573.1992,1012573,Annual,Ann,BC,1992,10.6,C,5.8,C,15.5,C,1285.4,mm,1248.7,mm,36.7,mm,,hPa,,hPa,,kph
-123.7,48.7,48.7,-123.7,1012573.1993,1012573,Annual,Ann,BC,1993,9.7,C,4.8,C,14.4,C,1075.6,mm,1034.3,mm,41.4,mm,,hPa,,hPa,,kph
-123.7,48.7,48.7,-123.7,1012573.1994,1012573,Annual,Ann,BC,1994,10.3,C,5.5,C,14.9,C,1456.8,mm,1417.2,mm,39.7,mm,,hPa,,hPa,,kph
-123.7,48.7,48.7,-123.7,1012573.1995,1012573,Annual,Ann,BC,1995,10.5,C,5.6,C,15.3,C,1654.6,mm,1621.8,mm,32.7,mm,,hPa,,hPa,,kph
-123.7,48.7,48.7,-123.7,1012573.1996,1012573,Annual,Ann,BC,1996,9.3,C,4.7,C,13.8,C,1558.6,mm,1373,mm,185.6,mm,,hPa,,hPa,,kph
-123.7,48.7,48.7,-123.7,1012573.1997,1012573,Annual,Ann,BC,1997,10.1,C,5.7,C,14.5,C,1753.9,mm,1726.7,mm,27.3,mm,,hPa,,hPa,,kph
-123.7,48.7,48.7,-123.7,1012573.1998,1012573,Annual,Ann,BC,1998,10.7,C,6.1,C,15.2,C,1581.4,mm,1525.6,mm,55.8,mm,,hPa,,hPa,,kph
-123.7,48.7,48.7,-123.7,1012573.1999,1012573,Annual,Ann,BC,1999,9.5,C,5,C,14,C,1843.2,mm,1807.6,mm,35.5,mm,,hPa,,hPa,,kph
-123.7,48.7,48.7,-123.7,1012573.2000,1012573,Annual,Ann,BC,2000,9.5,C,4.9,C,14,C,995,mm,934.2,mm,60.8,mm,,hPa,,hPa,,kph
-123.7,48.7,48.7,-123.7,1012573.2001,1012573,Annual,Ann,BC,2001,9.5,C,4.9,C,14.1,C,1208.3,mm,1160.7,mm,47.6,mm,,hPa,,hPa,,kph
-123.7,48.7,48.7,-123.7,1012573.2002,1012573,Annual,Ann,BC,2002,10,C,5.2,C,14.7,C,1267,mm,1164.8,mm,102.2,mm,,hPa,,hPa,,kph
-123.7,48.7,48.7,-123.7,1012573.2003,1012573,Annual,Ann,BC,2003,10.3,C,5.6,C,15.1,C,1499.6,mm,1463.3,mm,36.3,mm,,hPa,,hPa,,kph
-123.7,48.7,48.7,-123.7,1012573.2004,1012573,Annual,Ann,BC,2004,10.9,C,6.3,C,15.4,C,1261.3,mm,1214.8,mm,46.6,mm,,hPa,,hPa,,kph
-123.7,48.7,48.7,-123.7,1012573.2005,1012573,Annual,Ann,BC,2005,10.5,C,5.6,C,15.2,C,1240.4,mm,1154.6,mm,85.8,mm,,hPa,,hPa,,kph
-123.7,48.7,48.7,-123.7,1012573.2006,1012573,Annual,Ann,BC,2006,10.2,C,5.4,C,15,C,1869.7,mm,1781.4,mm,88.3,mm,,hPa,,hPa,,kph
-123.7,48.7,48.7,-123.7,1012573.2007,1012573,Annual,Ann,BC,2007,9.7,C,5.4,C,14,C,1504.8,mm,1426,mm,78.8,mm,,hPa,,hPa,,kph
-123.7,48.7,48.7,-123.7,1012573.2008,1012573,Annual,Ann,BC,2008,9.3,C,4.7,C,13.8,C,1039.6,mm,882.6,mm,157,mm,,hPa,,hPa,,kph
-123.7,48.7,48.7,-123.7,1012573.2009,1012573,Annual,Ann,BC,2009,9.7,C,4.7,C,14.6,C,1300.6,mm,1241.2,mm,59.4,mm,,hPa,,hPa,,kph
-123.7,48.7,48.7,-123.7,1012573.2010,1012573,Annual,Ann,BC,2010,9.8,C,5.4,C,14.1,C,1671.5,mm,1636.4,mm,35.1,mm,,hPa,,hPa,,kph
