x,y,lat__lat,lon__long,identifier__identifiant,station_id__id_station,period_group__groupe_periode,period_value__valeur_periode,province__province,year__annee,temp_mean__temp_moyenne,temp_mean_units__temp_moyenne_unites,temp_min__temp_min,temp_min_units__temp_min_unites,temp_max__temp_max,temp_max_units__temp_max_unites,total_precip__precip_totale,total_precip_units__precip_totale_unites,rain__pluie,rain_units__pluie_unites,snow__neige,snow_units__neige_unites,pressure_sea_level__pression_niveau_mer,pressure_sea_level_units__pression_niveau_mer_unite,pressure_station__pression_station,pressure_station_units__pression_station_unites,wind_speed__vitesse_vent,wind_speed_units__vitesse_vent_unites
-101,50.4,50.4,-101,5010240.1990,5010240,Annual,Ann,MB,1990,1.5,C,-4.4,C,7.4,C,561.5,mm,448.9,mm,112.6,mm,,hPa,,hPa,,kph
-101,50.4,50.4,-101,5010240.1991,5010240,Annual,Ann,MB,1991,2,C,-3.7,C,7.6,C,674.1,mm,435.7,mm,238.4,mm,,hPa,,hPa,,kph
-101,50.4,50.4,-101,5010240.1992,5010240,Annual,Ann,MB,1992,1.5,C,-4,C,7,C,483.2,mm,363.1,mm,120.1,mm,,hPa,,hPa,,kph
-101,50.4,50.4,-101,5010240.1993,5010240,Annual,Ann,MB,1993,1.2,C,-4.6,C,6.9,C,584.4,mm,496.8,mm,87.6,mm,,hPa,,hPa,,kph
-101,50.4,50.4,-101,5010240.1994,5010240,Annual,Ann,MB,1994,1.6,C,-4.3,C,7.5,C,486.4,mm,391.1,mm,95.3,mm,,hPa,,hPa,,kph
-101,50.4,50.4,-101,5010240.1995,5010240,Annual,Ann,MB,1995,-9999.9,C,-9999.9,C,-9999.9,C,-9999.9,mm,-9999.9,mm,-9999.9,mm,,hPa,,hPa,,kph
-101,50.4,50.4,-101,5010240.1996,5010240,Annual,Ann,MB,1996,-9999.9,C,-9999.9,C,-9999.9,C,-9999.9,mm,-9999.9,mm,-9999.9,mm,,hPa,,hPa,,kph
-101,50.4,50.4,-101,5010240.1997,5010240,Annual,Ann,MB,1997,-9999.9,C,-9999.9,C,-9999.9,C,-9999.9,mm,-9999.9,mm,-9999.9,mm,,hPa,,hPa,,kph
-101,50.4,50.4,-101,5010240.1998,5010240,Annual,Ann,MB,1998,-9999.9,C,-9999.9,C,-9999.9,C,-9999.9,mm,-9999.9,mm,-9999.9,mm,,hPa,,hPa,,kph
-101,50.4,50.4,-101,5010240.1999,5010240,Annual,Ann,MB,1999,-9999.9,C,-9999.9,C,-9999.9,C,-9999.9,mm,-9999.9,mm,-9999.9,mm,,hPa,,hPa,,kph
-101,50.4,50.4,-101,5010240.2000,5010240,Annual,Ann,MB,2000,-9999.9,C,-9999.9,C,-9999.9,C,-9999.9,mm,-9999.9,mm,-9999.9,mm,,hPa,,hPa,,kph
-101,50.4,50.4,-101,5010240.2001,5010240,Annual,Ann,MB,2001,,C,,C,,C,-9999.9,mm,-9999.9,mm,-9999.9,mm,,hPa,,hPa,,kph
-101,50.4,50.4,-101,5010240.2002,5010240,Annual,Ann,MB,2002,,C,,C,,C,-9999.9,mm,-9999.9,mm,-9999.9,mm,,hPa,,hPa,,kph
-101,50.4,50.4,-101,5010240.2003,5010240,Annual,Ann,MB,2003,,C,,C,,C,-9999.9,mm,-9999.9,mm,-9999.9,mm,,hPa,,hPa,,kph
-101,50.4,50.4,-101,5010240.2004,5010240,Annual,Ann,MB,2004,,C,,C,,C,-9999.9,mm,-9999.9,mm,-9999.9,mm,,hPa,,hPa,,kph
-101,50.4,50.4,-101,5010240.2005,5010240,Annual,Ann,MB,2005,,C,,C,,C,-9999.9,mm,-9999.9,mm,-9999.9,mm,,hPa,,hPa,,kph
-101,50.4,50.4,-101,5010240.2006,5010240,Annual,Ann,MB,2006,,C,,C,,C,-9999.9,mm,-9999.9,mm,-9999.9,mm,,hPa,,hPa,,kph
-101,50.4,50.4,-101,5010240.2007,5010240,Annual,Ann,MB,2007,,C,,C,,C,-9999.9,mm,-9999.9,mm,-9999.9,mm,,hPa,,hPa,,kph
-101,50.4,50.4,-101,5010240.2008,5010240,Annual,Ann,MB,2008,,C,,C,,C,-9999.9,mm,-9999.9,mm,-9999.9,mm,,hPa,,hPa,,kph
-101,50.4,50.4,-101,5010240.2009,5010240,Annual,Ann,MB,2009,,C,,C,,C,-9999.9,mm,-9999.9,mm,-9999.9,mm,,hPa,,hPa,,kph
-101,50.4,50.4,-101,5010240.2010,5010240,Annual,Ann,MB,2010,,C,,C,,C,-9999.9,mm,-9999.9,mm,-9999.9,mm,,hPa,,hPa,,kph
-101,50.4,50.4,-101,5010240.2011,5010240,Annual,Ann,MB,2011,,C,,C,,C,-9999.9,mm,-9999.9,mm,-9999.9,mm,,hPa,,hPa,,kph
-101,50.4,50.4,-101,5010240.2012,5010240,Annual,Ann,MB,2012,,C,,C,,C,-9999.9,mm,-9999.9,mm,-9999.9,mm,,hPa,,hPa,,kph
-101,50.4,50.4,-101,5010240.2013,5010240,Annual,Ann,MB,2013,,C,,C,,C,-9999.9,mm,-9999.9,mm,-9999.9,mm,,hPa,,hPa,,kph
-101,50.4,50.4,-101,5010240.2014,5010240,Annual,Ann,MB,2014,,C,,C,,C,-9999.9,mm,-9999.9,mm,-9999.9,mm,,hPa,,hPa,,kph
-101,50.4,50.4,-101,5010240.2015,5010240,Annual,Ann,MB,2015,,C,,C,,C,-9999.9,mm,-9999.9,mm,-9999.9,mm,,hPa,,hPa,,kph
-101,50.4,50.4,-101,5010240.2016,5010240,Annual,Ann,MB,2016,,C,,C,,C,-9999.9,mm,-9999.9,mm,-9999.9,mm,,hPa,,hPa,,kph
-101,50.4,50.4,-101,5010240.2017,5010240,Annual,Ann,MB,2017,,C,,C,,C,-9999.9,mm,-9999.9,mm,-9999.9,mm,,hPa,,hPa,,kph
-99.9519,49.91,49.91,-99.9519,5010480.1990,5010480,Annual,Ann,MB,1990,,C,,C,,C,635.2,mm,449.3,mm,185.9,mm,1015.6,hPa,965.4,hPa,18,kph
-99.9519,49.91,49.91,-99.9519,5010480.1991,5010480,Annual,Ann,MB,1991,,C,,C,,C,683.5,mm,442.6,mm,240.9,mm,1016.3,hPa,966,hPa,17,kph
-99.9519,49.91,49.91,-99.9519,5010480.1992,5010480,Annual,Ann,MB,1992,,C,,C,,C,431.8,mm,281.4,mm,150.4,mm,1016.9,hPa,966.6,hPa,15.9,kph
-99.9519,49.91,49.91,-99.9519,5010480.1993,5010480,Annual,Ann,MB,1993,,C,,C,,C,545.2,mm,475.3,mm,69.9,mm,1017.1,hPa,966.7,hPa,16,kph
-99.9519,49.91,49.91,-99.9519,5010480.1994,5010480,Annual,Ann,MB,1994,,C,,C,,C,457.9,mm,354.8,mm,103.1,mm,1017,hPa,966.5,hPa,17.3,kph
-99.9519,49.91,49.91,-99.9519,5010480.1995,5010480,Annual,Ann,MB,1995,,C,,C,,C,621.5,mm,297.5,mm,324,mm,1017.3,hPa,966.7,hPa,16.3,kph
-99.9519,49.91,49.91,-99.9519,5010480.1996,5010480,Annual,Ann,MB,1996,,C,,C,,C,540.5,mm,333.7,mm,206.8,mm,1017.8,hPa,967,hPa,16.7,kph
-99.9519,49.91,49.91,-99.9519,5010480.1997,5010480,Annual,Ann,MB,1997,,C,,C,,C,478,mm,347.4,mm,130.7,mm,1016.6,hPa,966.3,hPa,17,kph
-99.9519,49.91,49.91,-99.9519,5010480.1998,5010480,Annual,Ann,MB,1998,,C,,C,,C,770.4,mm,537.7,mm,232.7,mm,1016.6,hPa,966.4,hPa,15.4,kph
-99.9519,49.91,49.91,-99.9519,5010480.1999,5010480,Annual,Ann,MB,1999,,C,,C,,C,644.4,mm,508.2,mm,136.2,mm,1016.4,hPa,966.2,hPa,16,kph
-99.9519,49.91,49.91,-99.9519,5010480.2000,5010480,Annual,Ann,MB,2000,,C,,C,,C,685.1,mm,487.1,mm,198,mm,1017.6,hPa,967.2,hPa,16.3,kph
-99.9519,49.91,49.91,-99.9519,5010480.2001,5010480,Annual,Ann,MB,2001,,C,,C,,C,430.4,mm,313.6,mm,116.8,mm,1016.6,hPa,966.3,hPa,15.8,kph
-99.9519,49.91,49.91,-99.9519,5010480.2002,5010480,Annual,Ann,MB,2002,,C,,C,,C,454.6,mm,307.5,mm,147.1,mm,1016.5,hPa,966.1,hPa,15.9,kph
-99.9519,49.91,49.91,-99.9519,5010480.2003,5010480,Annual,Ann,MB,2003,,C,,C,,C,415.3,mm,257.8,mm,157.5,mm,1016.5,hPa,966.1,hPa,15,kph
-99.9519,49.91,49.91,-99.9519,5010480.2004,5010480,Annual,Ann,MB,2004,,C,,C,,C,677.9,mm,461.8,mm,216.1,mm,1017.2,hPa,966.7,hPa,15.8,kph
-99.9519,49.91,49.91,-99.9519,5010480.2005,5010480,Annual,Ann,MB,2005,,C,,C,,C,696.6,mm,494.5,mm,202.1,mm,1016.2,hPa,965.9,hPa,15.6,kph
-99.9519,49.91,49.91,-99.9519,5010480.2006,5010480,Annual,Ann,MB,2006,,C,,C,,C,544.6,mm,379.6,mm,165,mm,1016.1,hPa,966,hPa,14.6,kph
-99.9519,49.91,49.91,-99.9519,5010480.2007,5010480,Annual,Ann,MB,2007,,C,,C,,C,558.2,mm,384,mm,174.1,mm,1016.5,hPa,966.2,hPa,14.9,kph
-99.9519,49.91,49.91,-99.9519,5010480.2008,5010480,Annual,Ann,MB,2008,,C,,C,,C,620.8,mm,482,mm,138.8,mm,1016.3,hPa,965.8,hPa,16.6,kph
-99.9519,49.91,49.91,-99.9519,5010480.2009,5010480,Annual,Ann,MB,2009,,C,,C,,C,590.2,mm,437.7,mm,152.6,mm,1017.3,hPa,966.8,hPa,15.3,kph
-99.9519,49.91,49.91,-99.9519,5010480.2010,5010480,Annual,Ann,MB,2010,,C,,C,,C,724.4,mm,539.7,mm,184.8,mm,1016.2,hPa,966,hPa,15.2,kph
-99.9519,49.91,49.91,-99.9519,5010480.2011,5010480,Annual,Ann,MB,2011,,C,,C,,C,590.2,mm,446.1,mm,144,mm,1015.6,hPa,965.3,hPa,16.4,kph
-99.9519,49.91,49.91,-99.9519,5010480.2012,5010480,Annual,Ann,MB,2012,,C,,C,,C,-9999.9,mm,-9999.9,mm,-9999.9,mm,1015.4,hPa,965.3,hPa,16.1,kph
-99.9519,49.91,49.91,-99.9519,5010480.2013,5010480,Annual,Ann,MB,2013,,C,,C,,C,-9999.9,mm,-9999.9,mm,-9999.9,mm,1018.4,hPa,967.7,hPa,15.2,kph
-99.9519,49.91,49.91,-99.9519,5010480.2014,5010480,Annual,Ann,MB,2014,,C,,C,,C,-9999.9,mm,-9999.9,mm,-9999.9,mm,1016.8,hPa,966.2,hPa,17.7,kph
-99.9519,49.91,49.91,-99.9519,5010480.2015,5010480,Annual,Ann,MB,2015,,C,,C,,C,-9999.9,mm,-9999.9,mm,-9999.9,mm,,hPa,,hPa,,kph
-99.9519,49.91,49.91,-99.9519,5010480.2016,5010480,Annual,Ann,MB,2016,,C,,C,,C,-9999.9,mm,-9999.9,mm,-9999.9,mm,,hPa,,hPa,,kph
-99.9519,49.91,49.91,-99.9519,5010480.2017,5010480,Annual,Ann,MB,2017,,C,,C,,C,-9999.9,mm,-9999.9,mm,-9999.9,mm,,hPa,,hPa,,kph
-99.9,49.9,49.9,-99.9,5010490.1990,5010490,Annual,Ann,MB,1990,3,C,-3.4,C,9.4,C,,mm,,mm,,mm,,hPa,,hPa,,kph
-99.9,49.9,49.9,-99.9,5010490.1991,5010490,Annual,Ann,MB,1991,3.1,C,-3,C,9.3,C,,mm,,mm,,mm,,hPa,,hPa,,kph
-99.9,49.9,49.9,-99.9,5010490.1992,5010490,Annual,Ann,MB,1992,2.7,C,-3.2,C,8.6,C,,mm,,mm,,mm,,hPa,,hPa,,kph
-99.9,49.9,49.9,-99.9,5010490.1993,5010490,Annual,Ann,MB,1993,2,C,-4.1,C,8.2,C,,mm,,mm,,mm,,hPa,,hPa,,kph
-99.9,49.9,49.9,-99.9,5010490.1994,5010490,Annual,Ann,MB,1994,2.5,C,-3.8,C,8.8,C,,mm,,mm,,mm,,hPa,,hPa,,kph
