x,y,lat__lat,lon__long,identifier__identifiant,station_id__id_station,period_value__valeur_periode,period_group__groupe_periode,province__province,date,temp_mean__temp_moyenne,temp_mean_units__temp_moyenne_unites,temp_max__temp_max,temp_max_units__temp_max_unites,temp_min__temp_min,temp_min_units__temp_min_unites,total_precip__precip_totale,total_precip_units__precip_totale_unites,rain__pluie,rain_units__pluie_unites,snow__neige,snow_units__neige_unites,pressure_sea_level__pression_niveau_mer,pressure_sea_level_units__pression_niveau_mer_unite,pressure_station__pression_station,pressure_station_units__pression_station_unites,wind_speed__vitesse_vent,wind_speed_units__vitesse_vent_unites
-67.7,46.7,46.7,-67.7,8100300.1991.01,8100300,Jan,Monthly,NB,1991-01,-13.7,C,-8,C,-19.4,C,96,mm,10.7,mm,85.3,mm,,hPa,,hPa,,kph
-67.7,46.7,46.7,-67.7,8100300.1991.02,8100300,Feb,Monthly,NB,1991-02,-9.9,C,-3.1,C,-16.8,C,37.2,mm,9.9,mm,27.3,mm,,hPa,,hPa,,kph
-67.7,46.7,46.7,-67.7,8100300.1991.03,8100300,Mar,Monthly,NB,1991-03,-2.9,C,2.1,C,-7.9,C,133.6,mm,63.1,mm,70.5,mm,,hPa,,hPa,,kph
-67.7,46.7,46.7,-67.7,8100300.1991.04,8100300,Apr,Monthly,NB,1991-04,4,C,10.2,C,-2.2,C,68.8,mm,57.9,mm,11,mm,,hPa,,hPa,,kph
-67.7,46.7,46.7,-67.7,8100300.1991.05,8100300,May,Monthly,NB,1991-05,11.4,C,18.1,C,4.6,C,109.1,mm,109.1,mm,0,mm,,hPa,,hPa,,kph
-67.7,46.7,46.7,-67.7,8100300.1991.06,8100300,Jun,Monthly,NB,1991-06,16.1,C,23,C,9.2,C,49.1,mm,49.1,mm,0,mm,,hPa,,hPa,,kph
-67.7,46.7,46.7,-67.7,8100300.1991.07,8100300,Jul,Monthly,NB,1991-07,18.5,C,24.9,C,12.1,C,30.8,mm,30.8,mm,0,mm,,hPa,,hPa,,kph
-67.7,46.7,46.7,-67.7,8100300.1991.08,8100300,Aug,Monthly,NB,1991-08,18.5,C,24.4,C,12.5,C,164.6,mm,164.6,mm,0,mm,,hPa,,hPa,,kph
-67.7,46.7,46.7,-67.7,8100300.1991.09,8100300,Sep,Monthly,NB,1991-09,11.5,C,16.9,C,6.1,C,100.2,mm,97.8,mm,2.4,mm,,hPa,,hPa,,kph
-67.7,46.7,46.7,-67.7,8100300.1991.10,8100300,Oct,Monthly,NB,1991-10,7.9,C,12.3,C,3.4,C,95.4,mm,95.3,mm,0.1,mm,,hPa,,hPa,,kph
-67.7,46.7,46.7,-67.7,8100300.1991.11,8100300,Nov,Monthly,NB,1991-11,0.7,C,4.1,C,-2.8,C,42.3,mm,26.6,mm,15.7,mm,,hPa,,hPa,,kph
-67.7,46.7,46.7,-67.7,8100300.1991.12,8100300,Dec,Monthly,NB,1991-12,-10.8,C,-5.6,C,-15.9,C,85.8,mm,11.1,mm,74.6,mm,,hPa,,hPa,,kph
-67.7,46.7,46.7,-67.7,8100300.1992.01,8100300,Jan,Monthly,NB,1992-01,-11.6,C,-6.7,C,-16.5,C,127.6,mm,73.4,mm,54.2,mm,,hPa,,hPa,,kph
-67.7,46.7,46.7,-67.7,8100300.1992.02,8100300,Feb,Monthly,NB,1992-02,-11.8,C,-6,C,-17.6,C,109.9,mm,3.6,mm,106.3,mm,,hPa,,hPa,,kph
-67.7,46.7,46.7,-67.7,8100300.1992.03,8100300,Mar,Monthly,NB,1992-03,-7.3,C,-0.4,C,-14.2,C,53.2,mm,43.8,mm,9.4,mm,,hPa,,hPa,,kph
-67.7,46.7,46.7,-67.7,8100300.1992.04,8100300,Apr,Monthly,NB,1992-04,2.9,C,8.3,C,-2.5,C,77.8,mm,50.7,mm,27.1,mm,,hPa,,hPa,,kph
-67.7,46.7,46.7,-67.7,8100300.1992.05,8100300,May,Monthly,NB,1992-05,11.7,C,19.3,C,4,C,47.5,mm,47.3,mm,0.2,mm,,hPa,,hPa,,kph
-67.7,46.7,46.7,-67.7,8100300.1992.06,8100300,Jun,Monthly,NB,1992-06,16.1,C,22.1,C,10.1,C,121.9,mm,121.9,mm,0,mm,,hPa,,hPa,,kph
-67.7,46.7,46.7,-67.7,8100300.1992.07,8100300,Jul,Monthly,NB,1992-07,16,C,21.6,C,10.3,C,136.3,mm,136.3,mm,0,mm,,hPa,,hPa,,kph
-67.7,46.7,46.7,-67.7,8100300.1992.08,8100300,Aug,Monthly,NB,1992-08,17.8,C,23.4,C,12,C,118.3,mm,118.3,mm,0,mm,,hPa,,hPa,,kph
-67.7,46.7,46.7,-67.7,8100300.1992.09,8100300,Sep,Monthly,NB,1992-09,14,C,19.4,C,8.6,C,41,mm,41,mm,0,mm,,hPa,,hPa,,kph
-67.7,46.7,46.7,-67.7,8100300.1992.10,8100300,Oct,Monthly,NB,1992-10,5,C,9.6,C,0.3,C,116.2,mm,116,mm,0.2,mm,,hPa,,hPa,,kph
-67.7,46.7,46.7,-67.7,8100300.1992.11,8100300,Nov,Monthly,NB,1992-11,-1.2,C,3.2,C,-5.6,C,69,mm,49.9,mm,19.1,mm,,hPa,,hPa,,kph
-67.7,46.7,46.7,-67.7,8100300.1992.12,8100300,Dec,Monthly,NB,1992-12,-6.5,C,-2,C,-11.1,C,67.8,mm,10.7,mm,57.1,mm,,hPa,,hPa,,kph
-67.7,46.7,46.7,-67.7,8100300.1993.01,8100300,Jan,Monthly,NB,1993-01,-13,C,-7.4,C,-18.5,C,73.3,mm,47.5,mm,25.8,mm,,hPa,,hPa,,kph
-67.7,46.7,46.7,-67.7,8100300.1993.02,8100300,Feb,Monthly,NB,1993-02,-16.2,C,-8.6,C,-23.8,C,82.6,mm,0.3,mm,82.3,mm,,hPa,,hPa,,kph
-67.7,46.7,46.7,-67.7,8100300.1993.03,8100300,Mar,Monthly,NB,1993-03,-5.1,C,2.3,C,-12.5,C,57.5,mm,2.1,mm,55.4,mm,,hPa,,hPa,,kph
-67.7,46.7,46.7,-67.7,8100300.1993.04,8100300,Apr,Monthly,NB,1993-04,4.6,C,10.5,C,-1.3,C,106.7,mm,73.2,mm,33.5,mm,,hPa,,hPa,,kph
-67.7,46.7,46.7,-67.7,8100300.1993.05,8100300,May,Monthly,NB,1993-05,10.9,C,17.3,C,4.5,C,131,mm,131,mm,0,mm,,hPa,,hPa,,kph
