x,y,lat__lat,lon__long,identifier__identifiant,station_id__id_station,period_group__groupe_periode,period_value__valeur_periode,province__province,year__annee,temp_mean__temp_moyenne,temp_mean_units__temp_moyenne_unites,temp_min__temp_min,temp_min_units__temp_min_unites,temp_max__temp_max,temp_max_units__temp_max_unites,total_precip__precip_totale,total_precip_units__precip_totale_unites,rain__pluie,rain_units__pluie_unites,snow__neige,snow_units__neige_unites,pressure_sea_level__pression_niveau_mer,pressure_sea_level_units__pression_niveau_mer_unite,pressure_station__pression_station,pressure_station_units__pression_station_unites,wind_speed__vitesse_vent,wind_speed_units__vitesse_vent_unites
-135.01,68.22,68.22,-135.01,2200100.1990,2200100,Annual,Ann,NT,1990,,C,,C,,C,,mm,,mm,,mm,-9999.9,hPa,-9999.9,hPa,,kph
-135.01,68.22,68.22,-135.01,2200100.1991,2200100,Annual,Ann,NT,1991,,C,,C,,C,,mm,,mm,,mm,-9999.9,hPa,-9999.9,hPa,,kph
-135.01,68.22,68.22,-135.01,2200100.1992,2200100,Annual,Ann,NT,1992,,C,,C,,C,,mm,,mm,,mm,-9999.9,hPa,1014.9,hPa,,kph
-135.01,68.22,68.22,-135.01,2200100.1993,2200100,Annual,Ann,NT,1993,,C,,C,,C,,mm,,mm,,mm,-9999.9,hPa,-9999.9,hPa,,kph
-135.01,68.22,68.22,-135.01,2200100.1994,2200100,Annual,Ann,NT,1994,,C,,C,,C,,mm,,mm,,mm,-9999.9,hPa,-9999.9,hPa,,kph
-135.01,68.22,68.22,-135.01,2200100.1995,2200100,Annual,Ann,NT,1995,,C,,C,,C,,mm,,mm,,mm,-9999.9,hPa,-9999.9,hPa,,kph
-135.01,68.22,68.22,-135.01,2200100.1996,2200100,Annual,Ann,NT,1996,,C,,C,,C,,mm,,mm,,mm,-9999.9,hPa,-9999.9,hPa,,kph
-135.01,68.22,68.22,-135.01,2200100.1997,2200100,Annual,Ann,NT,1997,,C,,C,,C,,mm,,mm,,mm,-9999.9,hPa,-9999.9,hPa,,kph
-135.01,68.22,68.22,-135.01,2200100.1998,2200100,Annual,Ann,NT,1998,,C,,C,,C,,mm,,mm,,mm,1014.2,hPa,1013.4,hPa,,kph
-135.01,68.22,68.22,-135.01,2200100.1999,2200100,Annual,Ann,NT,1999,,C,,C,,C,,mm,,mm,,mm,-9999.9,hPa,-9999.9,hPa,,kph
-135.01,68.22,68.22,-135.01,2200100.2000,2200100,Annual,Ann,NT,2000,,C,,C,,C,,mm,,mm,,mm,-9999.9,hPa,-9999.9,hPa,,kph
-135.01,68.22,68.22,-135.01,2200100.2001,2200100,Annual,Ann,NT,2001,,C,,C,,C,,mm,,mm,,mm,1015.6,hPa,1014.7,hPa,,kph
-135.01,68.22,68.22,-135.01,2200100.2002,2200100,Annual,Ann,NT,2002,,C,,C,,C,,mm,,mm,,mm,1016.1,hPa,1015.3,hPa,,kph
-135.01,68.22,68.22,-135.01,2200100.2003,2200100,Annual,Ann,NT,2003,,C,,C,,C,,mm,,mm,,mm,1015.7,hPa,1014.9,hPa,,kph
-135.01,68.22,68.22,-135.01,2200100.2004,2200100,Annual,Ann,NT,2004,,C,,C,,C,,mm,,mm,,mm,1018,hPa,1017.1,hPa,,kph
-135.01,68.22,68.22,-135.01,2200100.2005,2200100,Annual,Ann,NT,2005,,C,,C,,C,,mm,,mm,,mm,-9999.9,hPa,-9999.9,hPa,,kph
-135.01,68.22,68.22,-135.01,2200100.2006,2200100,Annual,Ann,NT,2006,,C,,C,,C,,mm,,mm,,mm,-9999.9,hPa,-9999.9,hPa,,kph
-135.01,68.22,68.22,-135.01,2200100.2007,2200100,Annual,Ann,NT,2007,,C,,C,,C,,mm,,mm,,mm,-9999.9,hPa,-9999.9,hPa,,kph
-135.01,68.22,68.22,-135.01,2200100.2008,2200100,Annual,Ann,NT,2008,,C,,C,,C,,mm,,mm,,mm,1016,hPa,1015.2,hPa,,kph
-135.01,68.22,68.22,-135.01,2200100.2009,2200100,Annual,Ann,NT,2009,,C,,C,,C,,mm,,mm,,mm,-9999.9,hPa,-9999.9,hPa,,kph
-135.01,68.22,68.22,-135.01,2200100.2010,2200100,Annual,Ann,NT,2010,,C,,C,,C,,mm,,mm,,mm,-9999.9,hPa,-9999.9,hPa,,kph
