x,y,lat__lat,lon__long,identifier__identifiant,station_id__id_station,period_value__valeur_periode,period_group__groupe_periode,province__province,date,temp_mean__temp_moyenne,temp_mean_units__temp_moyenne_unites,temp_max__temp_max,temp_max_units__temp_max_unites,temp_min__temp_min,temp_min_units__temp_min_unites,total_precip__precip_totale,total_precip_units__precip_totale_unites,rain__pluie,rain_units__pluie_unites,snow__neige,snow_units__neige_unites,pressure_sea_level__pression_niveau_mer,pressure_sea_level_units__pression_niveau_mer_unite,pressure_station__pression_station,pressure_station_units__pression_station_unites,wind_speed__vitesse_vent,wind_speed_units__vitesse_vent_unites
-64.27,45.85,45.85,-64.27,8200091.1991.01,8200091,Jan,Monthly,NS,1991-01,,C,,C,,C,,mm,,mm,,mm,-9999.9,hPa,-9999.9,hPa,,kph
-64.27,45.85,45.85,-64.27,8200091.1991.02,8200091,Feb,Monthly,NS,1991-02,,C,,C,,C,,mm,,mm,,mm,-9999.9,hPa,-9999.9,hPa,,kph
-64.27,45.85,45.85,-64.27,8200091.1991.03,8200091,Mar,Monthly,NS,1991-03,,C,,C,,C,,mm,,mm,,mm,-9999.9,hPa,-9999.9,hPa,,kph
-64.27,45.85,45.85,-64.27,8200091.1991.04,8200091,Apr,Monthly,NS,1991-04,,C,,C,,C,,mm,,mm,,mm,-9999.9,hPa,-9999.9,hPa,,kph
-64.27,45.85,45.85,-64.27,8200091.1991.05,8200091,May,Monthly,NS,1991-05,,C,,C,,C,,mm,,mm,,mm,-9999.9,hPa,-9999.9,hPa,,kph
-64.27,45.85,45.85,-64.27,8200091.1991.06,8200091,Jun,Monthly,NS,1991-06,,C,,C,,C,,mm,,mm,,mm,-9999.9,hPa,-9999.9,hPa,,kph
-64.27,45.85,45.85,-64.27,8200091.1991.07,8200091,Jul,Monthly,NS,1991-07,,C,,C,,C,,mm,,mm,,mm,-9999.9,hPa,-9999.9,hPa,,kph
-64.27,45.85,45.85,-64.27,8200091.1991.08,8200091,Aug,Monthly,NS,1991-08,,C,,C,,C,,mm,,mm,,mm,-9999.9,hPa,-9999.9,hPa,,kph
-64.27,45.85,45.85,-64.27,8200091.1991.09,8200091,Sep,Monthly,NS,1991-09,,C,,C,,C,,mm,,mm,,mm,-9999.9,hPa,-9999.9,hPa,,kph
-64.27,45.85,45.85,-64.27,8200091.1991.10,8200091,Oct,Monthly,NS,1991-10,,C,,C,,C,,mm,,mm,,mm,-9999.9,hPa,-9999.9,hPa,,kph
