x,y,lat__lat,lon__long,identifier__identifiant,station_id__id_station,period_value__valeur_periode,period_group__groupe_periode,province__province,date,temp_mean__temp_moyenne,temp_mean_units__temp_moyenne_unites,temp_max__temp_max,temp_max_units__temp_max_unites,temp_min__temp_min,temp_min_units__temp_min_unites,total_precip__precip_totale,total_precip_units__precip_totale_unites,rain__pluie,rain_units__pluie_unites,snow__neige,snow_units__neige_unites,pressure_sea_level__pression_niveau_mer,pressure_sea_level_units__pression_niveau_mer_unite,pressure_station__pression_station,pressure_station_units__pression_station_unites,wind_speed__vitesse_vent,wind_speed_units__vitesse_vent_unites
-62.6,46,46,-62.6,8300100.1991.01,8300100,Jan,Monthly,PE,1991-01,-9999.9,C,-9999.9,C,-9999.9,C,,mm,,mm,,mm,,hPa,,hPa,,kph
-62.6,46,46,-62.6,8300100.1991.02,8300100,Feb,Monthly,PE,1991-02,-9999.9,C,-9999.9,C,-9999.9,C,,mm,,mm,,mm,,hPa,,hPa,,kph
-62.6,46,46,-62.6,8300100.1991.03,8300100,Mar,Monthly,PE,1991-03,-9999.9,C,-9999.9,C,-9999.9,C,,mm,,mm,,mm,,hPa,,hPa,,kph
-62.6,46,46,-62.6,8300100.1991.04,8300100,Apr,Monthly,PE,1991-04,-9999.9,C,-9999.9,C,-9999.9,C,,mm,,mm,,mm,,hPa,,hPa,,kph
-62.6,46,46,-62.6,8300100.1991.05,8300100,May,Monthly,PE,1991-05,-9999.9,C,-9999.9,C,-9999.9,C,,mm,,mm,,mm,,hPa,,hPa,,kph
-62.6,46,46,-62.6,8300100.1991.06,8300100,Jun,Monthly,PE,1991-06,-9999.9,C,-9999.9,C,-9999.9,C,,mm,,mm,,mm,,hPa,,hPa,,kph
-62.6,46,46,-62.6,8300100.1991.07,8300100,Jul,Monthly,PE,1991-07,-9999.9,C,-9999.9,C,-9999.9,C,,mm,,mm,,mm,,hPa,,hPa,,kph
-62.6,46,46,-62.6,8300100.1991.08,8300100,Aug,Monthly,PE,1991-08,-9999.9,C,-9999.9,C,-9999.9,C,,mm,,mm,,mm,,hPa,,hPa,,kph
-62.6,46,46,-62.6,8300100.1991.09,8300100,Sep,Monthly,PE,1991-09,-9999.9,C,-9999.9,C,-9999.9,C,,mm,,mm,,mm,,hPa,,hPa,,kph
-62.6,46,46,-62.6,8300100.1991.10,8300100,Oct,Monthly,PE,1991-10,-9999.9,C,-9999.9,C,-9999.9,C,,mm,,mm,,mm,,hPa,,hPa,,kph
-62.6,46,46,-62.6,8300100.1991.11,8300100,Nov,Monthly,PE,1991-11,-9999.9,C,-9999.9,C,-9999.9,C,,mm,,mm,,mm,,hPa,,hPa,,kph
-62.6,46,46,-62.6,8300100.1991.12,8300100,Dec,Monthly,PE,1991-12,-9999.9,C,-9999.9,C,-9999.9,C,,mm,,mm,,mm,,hPa,,hPa,,kph
-62.6,46,46,-62.6,8300100.1992.01,8300100,Jan,Monthly,PE,1992-01,-9999.9,C,-9999.9,C,-9999.9,C,,mm,,mm,,mm,,hPa,,hPa,,kph
-62.6,46,46,-62.6,8300100.1992.02,8300100,Feb,Monthly,PE,1992-02,-9999.9,C,-9999.9,C,-9999.9,C,,mm,,mm,,mm,,hPa,,hPa,,kph
-62.6,46,46,-62.6,8300100.1992.03,8300100,Mar,Monthly,PE,1992-03,-9999.9,C,-9999.9,C,-9999.9,C,,mm,,mm,,mm,,hPa,,hPa,,kph
-62.6,46,46,-62.6,8300100.1992.04,8300100,Apr,Monthly,PE,1992-04,-9999.9,C,-9999.9,C,-9999.9,C,,mm,,mm,,mm,,hPa,,hPa,,kph
-62.6,46,46,-62.6,8300100.1992.05,8300100,May,Monthly,PE,1992-05,-9999.9,C,-9999.9,C,-9999.9,C,,mm,,mm,,mm,,hPa,,hPa,,kph
-62.6,46,46,-62.6,8300100.1992.06,8300100,Jun,Monthly,PE,1992-06,-9999.9,C,-9999.9,C,-9999.9,C,,mm,,mm,,mm,,hPa,,hPa,,kph
-62.6,46,46,-62.6,8300100.1992.07,8300100,Jul,Monthly,PE,1992-07,-9999.9,C,-9999.9,C,-9999.9,C,,mm,,mm,,mm,,hPa,,hPa,,kph
-62.6,46,46,-62.6,8300100.1992.08,8300100,Aug,Monthly,PE,1992-08,-9999.9,C,-9999.9,C,-9999.9,C,,mm,,mm,,mm,,hPa,,hPa,,kph
-62.6,46,46,-62.6,8300100.1992.09,8300100,Sep,Monthly,PE,1992-09,-9999.9,C,-9999.9,C,-9999.9,C,,mm,,mm,,mm,,hPa,,hPa,,kph
-62.6,46,46,-62.6,8300100.1992.10,8300100,Oct,Monthly,PE,1992-10,-9999.9,C,-9999.9,C,-9999.9,C,,mm,,mm,,mm,,hPa,,hPa,,kph
-62.6,46,46,-62.6,8300100.1992.11,8300100,Nov,Monthly,PE,1992-11,-9999.9,C,-9999.9,C,-9999.9,C,,mm,,mm,,mm,,hPa,,hPa,,kph
-62.6,46,46,-62.6,8300100.1992.12,8300100,Dec,Monthly,PE,1992-12,-9999.9,C,-9999.9,C,-9999.9,C,,mm,,mm,,mm,,hPa,,hPa,,kph
