x,y,lat__lat,lon__long,identifier__identifiant,station_id__id_station,period_group__groupe_periode,period_value__valeur_periode,province__province,year__annee,temp_mean__temp_moyenne,temp_mean_units__temp_moyenne_unites,temp_min__temp_min,temp_min_units__temp_min_unites,temp_max__temp_max,temp_max_units__temp_max_unites,total_precip__precip_totale,total_precip_units__precip_totale_unites,rain__pluie,rain_units__pluie_unites,snow__neige,snow_units__neige_unites,pressure_sea_level__pression_niveau_mer,pressure_sea_level_units__pression_niveau_mer_unite,pressure_station__pression_station,pressure_station_units__pression_station_unites,wind_speed__vitesse_vent,wind_speed_units__vitesse_vent_unites
-73.1,46,46,-73.1,7010720.1990,7010720,Annual,Ann,QC,1990,6.8,C,2.2,C,11.4,C,,mm,,mm,,mm,,hPa,,hPa,,kph
-73.1,46,46,-73.1,7010720.1991,7010720,Annual,Ann,QC,1991,6.7,C,1.7,C,11.5,C,,mm,,mm,,mm,,hPa,,hPa,,kph
-73.1,46,46,-73.1,7010720.1992,7010720,Annual,Ann,QC,1992,5.2,C,0.4,C,9.9,C,,mm,,mm,,mm,,hPa,,hPa,,kph
-73.1,46,46,-73.1,7010720.1993,7010720,Annual,Ann,QC,1993,5,C,0,C,10,C,,mm,,mm,,mm,,hPa,,hPa,,kph
-73.1,46,46,-73.1,7010720.1994,7010720,Annual,Ann,QC,1994,5.3,C,0.3,C,10.3,C,,mm,,mm,,mm,,hPa,,hPa,,kph
-73.1,46,46,-73.1,7010720.1995,7010720,Annual,Ann,QC,1995,-9999.9,C,-9999.9,C,-9999.9,C,,mm,,mm,,mm,,hPa,,hPa,,kph
-71.9,46.6,46.6,-71.9,7011983.1990,7011983,Annual,Ann,QC,1990,-9999.9,C,-9999.9,C,-9999.9,C,,mm,,mm,,mm,,hPa,,hPa,,kph
-71.9,46.6,46.6,-71.9,7011983.1991,7011983,Annual,Ann,QC,1991,3.6,C,-2.8,C,10,C,,mm,,mm,,mm,,hPa,,hPa,,kph
-71.9,46.6,46.6,-71.9,7011983.1992,7011983,Annual,Ann,QC,1992,-9999.9,C,-9999.9,C,-9999.9,C,,mm,,mm,,mm,,hPa,,hPa,,kph
-71.9,46.6,46.6,-71.9,7011983.1993,7011983,Annual,Ann,QC,1993,2.6,C,-3.8,C,9,C,,mm,,mm,,mm,,hPa,,hPa,,kph
-71.9,46.6,46.6,-71.9,7011983.1994,7011983,Annual,Ann,QC,1994,2.9,C,-3.4,C,9.1,C,,mm,,mm,,mm,,hPa,,hPa,,kph
-71.9,46.6,46.6,-71.9,7011983.1995,7011983,Annual,Ann,QC,1995,-9999.9,C,-9999.9,C,-9999.9,C,,mm,,mm,,mm,,hPa,,hPa,,kph
-71.9,46.6,46.6,-71.9,7011983.1996,7011983,Annual,Ann,QC,1996,-9999.9,C,-9999.9,C,-9999.9,C,,mm,,mm,,mm,,hPa,,hPa,,kph
-71.9,46.6,46.6,-71.9,7011983.1997,7011983,Annual,Ann,QC,1997,2.7,C,-3.7,C,9.1,C,,mm,,mm,,mm,,hPa,,hPa,,kph
-71.9,46.6,46.6,-71.9,7011983.1998,7011983,Annual,Ann,QC,1998,-9999.9,C,-9999.9,C,-9999.9,C,,mm,,mm,,mm,,hPa,,hPa,,kph
-71.9,46.6,46.6,-71.9,7011983.1999,7011983,Annual,Ann,QC,1999,5.1,C,-1.3,C,11.4,C,,mm,,mm,,mm,,hPa,,hPa,,kph
-71.9,46.6,46.6,-71.9,7011983.2000,7011983,Annual,Ann,QC,2000,3.5,C,-2.6,C,9.6,C,,mm,,mm,,mm,,hPa,,hPa,,kph
-71.9,46.6,46.6,-71.9,7011983.2001,7011983,Annual,Ann,QC,2001,4.9,C,-1.5,C,11.3,C,,mm,,mm,,mm,,hPa,,hPa,,kph
-71.9,46.6,46.6,-71.9,7011983.2002,7011983,Annual,Ann,QC,2002,4.1,C,-2.1,C,10.3,C,,mm,,mm,,mm,,hPa,,hPa,,kph
-71.9,46.6,46.6,-71.9,7011983.2003,7011983,Annual,Ann,QC,2003,-9999.9,C,-9999.9,C,-9999.9,C,,mm,,mm,,mm,,hPa,,hPa,,kph
-71.9,46.6,46.6,-71.9,7011983.2004,7011983,Annual,Ann,QC,2004,3.2,C,-3.2,C,9.6,C,,mm,,mm,,mm,,hPa,,hPa,,kph
-71.9,46.6,46.6,-71.9,7011983.2005,7011983,Annual,Ann,QC,2005,4.2,C,-2,C,10.4,C,,mm,,mm,,mm,,hPa,,hPa,,kph
