x,y,lat__lat,lon__long,identifier__identifiant,station_id__id_station,period_value__valeur_periode,period_group__groupe_periode,province__province,date,temp_mean__temp_moyenne,temp_mean_units__temp_moyenne_unites,temp_max__temp_max,temp_max_units__temp_max_unites,temp_min__temp_min,temp_min_units__temp_min_unites,total_precip__precip_totale,total_precip_units__precip_totale_unites,rain__pluie,rain_units__pluie_unites,snow__neige,snow_units__neige_unites,pressure_sea_level__pression_niveau_mer,pressure_sea_level_units__pression_niveau_mer_unite,pressure_station__pression_station,pressure_station_units__pression_station_unites,wind_speed__vitesse_vent,wind_speed_units__vitesse_vent_unites
-137.48,61.65,61.65,-137.48,2100100.1991.01,2100100,Jan,Monthly,YT,1991-01,,C,,C,,C,,mm,,mm,,mm,-9999.9,hPa,-9999.9,hPa,,kph
-137.48,61.65,61.65,-137.48,2100100.1991.02,2100100,Feb,Monthly,YT,1991-02,,C,,C,,C,,mm,,mm,,mm,-9999.9,hPa,-9999.9,hPa,,kph
-137.48,61.65,61.65,-137.48,2100100.1991.03,2100100,Mar,Monthly,YT,1991-03,,C,,C,,C,,mm,,mm,,mm,-9999.9,hPa,-9999.9,hPa,,kph
-137.48,61.65,61.65,-137.48,2100100.1991.04,2100100,Apr,Monthly,YT,1991-04,,C,,C,,C,,mm,,mm,,mm,-9999.9,hPa,-9999.9,hPa,,kph
-137.48,61.65,61.65,-137.48,2100100.1991.05,2100100,May,Monthly,YT,1991-05,,C,,C,,C,,mm,,mm,,mm,-9999.9,hPa,-9999.9,hPa,,kph
-137.48,61.65,61.65,-137.48,2100100.1991.06,2100100,Jun,Monthly,YT,1991-06,,C,,C,,C,,mm,,mm,,mm,-9999.9,hPa,-9999.9,hPa,,kph
-137.48,61.65,61.65,-137.48,2100100.1991.07,2100100,Jul,Monthly,YT,1991-07,,C,,C,,C,,mm,,mm,,mm,-9999.9,hPa,-9999.9,hPa,,kph
-137.48,61.65,61.65,-137.48,2100100.1991.08,2100100,Aug,Monthly,YT,1991-08,,C,,C,,C,,mm,,mm,,mm,-9999.9,hPa,-9999.9,hPa,,kph
-137.48,61.65,61.65,-137.48,2100100.1991.09,2100100,Sep,Monthly,YT,1991-09,,C,,C,,C,,mm,,mm,,mm,-9999.9,hPa,-9999.9,hPa,,kph
-137.48,61.65,61.65,-137.48,2100100.1991.10,2100100,Oct,Monthly,YT,1991-10,,C,,C,,C,,mm,,mm,,mm,-9999.9,hPa,-9999.9,hPa,,kph
-137.48,61.65,61.65,-137.48,2100100.1991.11,2100100,Nov,Monthly,YT,1991-11,,C,,C,,C,,mm,,mm,,mm,-9999.9,hPa,-9999.9,hPa,,kph
-137.48,61.65,61.65,-137.48,2100100.1991.12,2100100,Dec,Monthly,YT,1991-12,,C,,C,,C,,mm,,mm,,mm,-9999.9,hPa,-9999.9,hPa,,kph
-137.48,61.65,61.65,-137.48,2100100.1992.01,2100100,Jan,Monthly,YT,1992-01,,C,,C,,C,,mm,,mm,,mm,-9999.9,hPa,-9999.9,hPa,,kph
-137.48,61.65,61.65,-137.48,2100100.1992.02,2100100,Feb,Monthly,YT,1992-02,,C,,C,,C,,mm,,mm,,mm,-9999.9,hPa,-9999.9,hPa,,kph
-137.48,61.65,61.65,-137.48,2100100.1992.03,2100100,Mar,Monthly,YT,1992-03,,C,,C,,C,,mm,,mm,,mm,-9999.9,hPa,-9999.9,hPa,,kph
-137.48,61.65,61.65,-137.48,2100100.1992.04,2100100,Apr,Monthly,YT,1992-04,,C,,C,,C,,mm,,mm,,mm,-9999.9,hPa,-9999.9,hPa,,kph
-137.48,61.65,61.65,-137.48,2100100.1992.05,2100100,May,Monthly,YT,1992-05,,C,,C,,C,,mm,,mm,,mm,-9999.9,hPa,-9999.9,hPa,,kph
-137.48,61.65,61.65,-137.48,2100100.1992.06,2100100,Jun,Monthly,YT,1992-06,,C,,C,,C,,mm,,mm,,mm,-9999.9,hPa,-9999.9,hPa,,kph
-137.48,61.65,61.65,-137.48,2100100.1992.07,2100100,Jul,Monthly,YT,1992-07,,C,,C,,C,,mm,,mm,,mm,-9999.9,hPa,-9999.9,hPa,,kph
-137.48,61.65,61.65,-137.48,2100100.1992.08,2100100,Aug,Monthly,YT,1992-08,,C,,C,,C,,mm,,mm,,mm,-9999.9,hPa,-9999.9,hPa,,kph
-137.48,61.65,61.65,-137.48,2100100.1992.09,2100100,Sep,Monthly,YT,1992-09,,C,,C,,C,,mm,,mm,,mm,-9999.9,hPa,-9999.9,hPa,,kph
-137.48,61.65,61.65,-137.48,2100100.1992.10,2100100,Oct,Monthly,YT,1992-10,,C,,C,,C,,mm,,mm,,mm,-9999.9,hPa,-9999.9,hPa,,kph
-137.48,61.65,61.65,-137.48,2100100.1992.11,2100100,Nov,Monthly,YT,1992-11,,C,,C,,C,,mm,,mm,,mm,-9999.9,hPa,-9999.9,hPa,,kph
-137.48,61.65,61.65,-137.48,2100100.1992.12,2100100,Dec,Monthly,YT,1992-12,,C,,C,,C,,mm,,mm,,mm,-9999.9,hPa,-9999.9,hPa,,kph
-137.48,61.65,61.65,-137.48,2100100.1993.01,2100100,Jan,Monthly,YT,1993-01,,C,,C,,C,,mm,,mm,,mm,-9999.9,hPa,-9999.9,hPa,,kph
-137.48,61.65,61.65,-137.48,2100100.1993.02,2100100,Feb,Monthly,YT,1993-02,,C,,C,,C,,mm,,mm,,mm,-9999.9,hPa,-9999.9,hPa,,kph
-137.48,61.65,61.65,-137.48,2100100.1993.03,2100100,Mar,Monthly,YT,1993-03,,C,,C,,C,,mm,,mm,,mm,-9999.9,hPa,-9999.9,hPa,,kph
-137.48,61.65,61.65,-137.48,2100100.1993.04,2100100,Apr,Monthly,YT,1993-04,,C,,C,,C,,mm,,mm,,mm,-9999.9,hPa,-9999.9,hPa,,kph
