x,y,lat__lat,lon__long,identifier__identifiant,station_id__id_station,period_value__valeur_periode,period_group__groupe_periode,province__province,date,temp_mean__temp_moyenne,temp_mean_units__temp_moyenne_unites,temp_max__temp_max,temp_max_units__temp_max_unites,temp_min__temp_min,temp_min_units__temp_min_unites,total_precip__precip_totale,total_precip_units__precip_totale_unites,rain__pluie,rain_units__pluie_unites,snow__neige,snow_units__neige_unites,pressure_sea_level__pression_niveau_mer,pressure_sea_level_units__pression_niveau_mer_unite,pressure_station__pression_station,pressure_station_units__pression_station_unites,wind_speed__vitesse_vent,wind_speed_units__vitesse_vent_unites
-101,50.4,50.4,-101,5010240.1991.01,5010240,Jan,Monthly,MB,1991-01,-19.6,C,-14.4,C,-24.8,C,22.7,mm,0,mm,22.7,mm,,hPa,,hPa,,kph
-101,50.4,50.4,-101,5010240.1991.02,5010240,Feb,Monthly,MB,1991-02,-9.8,C,-5.1,C,-14.4,C,38.5,mm,0,mm,38.5,mm,,hPa,,hPa,,kph
-101,50.4,50.4,-101,5010240.1991.03,5010240,Mar,Monthly,MB,1991-03,-7.4,C,-2.6,C,-12.3,C,32.4,mm,0.1,mm,32.2,mm,,hPa,,hPa,,kph
-101,50.4,50.4,-101,5010240.1991.04,5010240,Apr,Monthly,MB,1991-04,6,C,12,C,-0.1,C,59.2,mm,50.2,mm,9,mm,,hPa,,hPa,,kph
-101,50.4,50.4,-101,5010240.1991.05,5010240,May,Monthly,MB,1991-05,12.4,C,18.5,C,6.2,C,78.2,mm,78.1,mm,0.1,mm,,hPa,,hPa,,kph
-101,50.4,50.4,-101,5010240.1991.06,5010240,Jun,Monthly,MB,1991-06,17.3,C,23.3,C,11.2,C,84.2,mm,84.2,mm,0,mm,,hPa,,hPa,,kph
-101,50.4,50.4,-101,5010240.1991.07,5010240,Jul,Monthly,MB,1991-07,17.7,C,23.4,C,11.9,C,120.6,mm,120.6,mm,0,mm,,hPa,,hPa,,kph
-101,50.4,50.4,-101,5010240.1991.08,5010240,Aug,Monthly,MB,1991-08,19,C,26.5,C,11.4,C,26.7,mm,26.7,mm,0,mm,,hPa,,hPa,,kph
-101,50.4,50.4,-101,5010240.1991.09,5010240,Sep,Monthly,MB,1991-09,10.9,C,17.1,C,4.6,C,62.5,mm,57.2,mm,5.3,mm,,hPa,,hPa,,kph
-101,50.4,50.4,-101,5010240.1991.10,5010240,Oct,Monthly,MB,1991-10,0.2,C,5.3,C,-4.9,C,57.6,mm,15.4,mm,42.2,mm,,hPa,,hPa,,kph
-101,50.4,50.4,-101,5010240.1991.11,5010240,Nov,Monthly,MB,1991-11,-9.9,C,-4.9,C,-14.9,C,30.6,mm,2.9,mm,27.8,mm,,hPa,,hPa,,kph
-101,50.4,50.4,-101,5010240.1991.12,5010240,Dec,Monthly,MB,1991-12,-13.3,C,-8.4,C,-18.1,C,60.8,mm,0.1,mm,60.6,mm,,hPa,,hPa,,kph
-101,50.4,50.4,-101,5010240.1992.01,5010240,Jan,Monthly,MB,1992-01,-12.5,C,-7.5,C,-17.4,C,23.2,mm,0.1,mm,23.1,mm,,hPa,,hPa,,kph
-101,50.4,50.4,-101,5010240.1992.02,5010240,Feb,Monthly,MB,1992-02,-11.1,C,-6,C,-16.3,C,23.4,mm,0.3,mm,23.1,mm,,hPa,,hPa,,kph
-101,50.4,50.4,-101,5010240.1992.03,5010240,Mar,Monthly,MB,1992-03,-5.2,C,0,C,-10.3,C,14.3,mm,10,mm,4.3,mm,,hPa,,hPa,,kph
-101,50.4,50.4,-101,5010240.1992.04,5010240,Apr,Monthly,MB,1992-04,1.4,C,6.2,C,-3.3,C,19.9,mm,14.6,mm,5.3,mm,,hPa,,hPa,,kph
-101,50.4,50.4,-101,5010240.1992.05,5010240,May,Monthly,MB,1992-05,11.2,C,17.9,C,4.5,C,73.4,mm,69.4,mm,4,mm,,hPa,,hPa,,kph
-101,50.4,50.4,-101,5010240.1992.06,5010240,Jun,Monthly,MB,1992-06,13.9,C,19.8,C,7.9,C,42.8,mm,42.8,mm,0,mm,,hPa,,hPa,,kph
-101,50.4,50.4,-101,5010240.1992.07,5010240,Jul,Monthly,MB,1992-07,14.8,C,20.5,C,9.1,C,116.6,mm,116.6,mm,0,mm,,hPa,,hPa,,kph
-101,50.4,50.4,-101,5010240.1992.08,5010240,Aug,Monthly,MB,1992-08,14.4,C,21.5,C,7.3,C,32.2,mm,32.2,mm,0,mm,,hPa,,hPa,,kph
-101,50.4,50.4,-101,5010240.1992.09,5010240,Sep,Monthly,MB,1992-09,9.8,C,16,C,3.5,C,70.9,mm,64.7,mm,6.2,mm,,hPa,,hPa,,kph
-101,50.4,50.4,-101,5010240.1992.10,5010240,Oct,Monthly,MB,1992-10,4.1,C,10.6,C,-2.5,C,20.7,mm,9.2,mm,11.5,mm,,hPa,,hPa,,kph
-101,50.4,50.4,-101,5010240.1992.11,5010240,Nov,Monthly,MB,1992-11,-4.6,C,-1.5,C,-7.7,C,27.5,mm,3,mm,24.5,mm,,hPa,,hPa,,kph
-101,50.4,50.4,-101,5010240.1992.12,5010240,Dec,Monthly,MB,1992-12,-17.9,C,-13.5,C,-22.3,C,18.3,mm,0.1,mm,18.1,mm,,hPa,,hPa,,kph
-101,50.4,50.4,-101,5010240.1993.01,5010240,Jan,Monthly,MB,1993-01,-17.5,C,-12.1,C,-22.9,C,14.1,mm,0,mm,14.1,mm,,hPa,,hPa,,kph
-101,50.4,50.4,-101,5010240.1993.02,5010240,Feb,Monthly,MB,1993-02,-14.4,C,-9,C,-19.8,C,2,mm,0,mm,2,mm,,hPa,,hPa,,kph
-101,50.4,50.4,-101,5010240.1993.03,5010240,Mar,Monthly,MB,1993-03,-4,C,1,C,-9,C,22.9,mm,7.6,mm,15.3,mm,,hPa,,hPa,,kph
-101,50.4,50.4,-101,5010240.1993.04,5010240,Apr,Monthly,MB,1993-04,3.6,C,9.5,C,-2.3,C,24.9,mm,19,mm,6,mm,,hPa,,hPa,,kph
-101,50.4,50.4,-101,5010240.1993.05,5010240,May,Monthly,MB,1993-05,10.6,C,18.1,C,3,C,31.1,mm,19.4,mm,11.7,mm,,hPa,,hPa,,kph
-101,50.4,50.4,-101,5010240.1993.06,5010240,Jun,Monthly,MB,1993-06,13.2,C,19.6,C,6.8,C,132,mm,132,mm,0,mm,,hPa,,hPa,,kph
-101,50.4,50.4,-101,5010240.1993.07,5010240,Jul,Monthly,MB,1993-07,15.2,C,20.6,C,9.8,C,137.9,mm,137.9,mm,0,mm,,hPa,,hPa,,kph
-101,50.4,50.4,-101,5010240.1993.08,5010240,Aug,Monthly,MB,1993-08,15.6,C,21.5,C,9.6,C,109,mm,109,mm,0,mm,,hPa,,hPa,,kph
-101,50.4,50.4,-101,5010240.1993.09,5010240,Sep,Monthly,MB,1993-09,9.2,C,15.3,C,3.1,C,63.8,mm,57.3,mm,6.5,mm,,hPa,,hPa,,kph
-101,50.4,50.4,-101,5010240.1993.10,5010240,Oct,Monthly,MB,1993-10,2.3,C,8.5,C,-4,C,16.6,mm,12.9,mm,3.7,mm,,hPa,,hPa,,kph
